id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
82;0.06666666666666667;0.09796080511774824;0.8817958802794484;0.8172375831950869;0.0;0.333333333;0.0;0.0;0.06666666666666667;0.0487804877584771;0.0;0.0;0.0;0;0;0;0.0;0
83;0.06666666666666667;0.09763017865517527;0.8665069314622579;0.8099132956277953;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.2;0.0;0.0;0;0;0;0.05;0
84;0.06666666666666667;0.10476431492705325;0.9703348745710526;0.8596528601228699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
85;0.06666666666666667;0.0979124408292636;0.8813394941767316;0.8170189476624815;0.0;0.333333333;0.0;0.0;0.06666666666666667;0.0487804877584771;1.0;0.0625;0.0;0;0;0;0.3125;2
86;0.06666666666666667;0.0882387698424997;0.7170403328995103;0.7383101861971493;0.0;0.444444444;0.0;0.0;0.2;0.19512195118024986;0.0;0.0;0.0;0;0;0;0.0;0
87;0.06666666666666667;0.08512705587079046;0.6627303332789797;0.7122925679079772;0.261111111;0.5;0.375;0.24867724857142856;0.06666666666666667;0.07317073171088638;0.333333333;0.0;0.0;0;0;0;0.08333333325;0
88;0.06666666666666667;0.09763017865517527;0.8665069314622579;0.8099132956277953;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
89;0.06666666666666667;0.10081392311909515;0.8758628568366503;0.8143953222803039;0.0;0.261111111;0.0;0.0;0.2;0.11463414629827484;0.0;0.0;0.0;0;0;0;0.0;0
90;0.06666666666666667;0.08545792989775566;0.699925837617713;0.7301113568778439;0.25;0.416666667;0.125;0.07936507936507936;0.13333333333333333;0.12195121946936348;0.0;0.0;0.0;0;0;0;0.0;0
91;0.06666666666666667;0.09291466637697164;0.8220092412650971;0.7885963393976013;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.25;0.0;0;0;0;0.25;2
92;0.06666666666666667;0.10476431492705325;0.9703348745710526;0.8596528601228699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
93;0.06666666666666667;0.08396645890133098;0.6645558797435867;0.7131671096599913;0.0;0.75;0.0;0.0;0.13333333333333333;0.21951219513265915;0.0;0.0;0.0;0;0;0;0.0;0
94;0.06666666666666667;0.10555023366275791;0.9777511559282894;0.8632056862032808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
95;0.06666666666666667;0.08541697308954982;0.6417365520166102;0.7022353371922053;0.0;1.0;0.0;0.0;0.13333333333333333;0.2926829268435455;0.0;0.0;0.0;0;0;0;0.0;0
96;0.06666666666666667;0.0880278160071284;0.5933595758388777;0.6790599796916805;0.3;0.3;0.5;0.38095238095238093;0.26666666666666666;0.1756097561061273;0.25;0.0;0.0;0;0;0;0.0625;0
97;0.06666666666666667;0.09291466637697164;0.8220092412650971;0.7885963393976013;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
