wSW;wR;wPt;SW;R;Pt;kSW;kR;claster;SumID;F;id
0.0;0.0;0;0.2222222222222222;0.0;0;0.375;0.0;0;0.5972222222222222;0;104
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;107
0.5;0.0;0;0.15873015873015872;0.0;0;0.0;0.0;0;0.6587301587301587;0;108
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;109
0.0;0.0;0;0.0;0.21951219513265915;0;0.0;0.0;0;0.21951219513265915;0;111
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;112
0.5;1.0;0;0.15873015873015872;0.2926829268435455;0;0.0;0.0;-1;1.9514130855737042;1;113
0.0;0.0;0;0.4232804231746032;0.19512195118024986;0;0.5;0.0;0;1.118402374354853;0;114
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;115
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;116
1.0;0.0;0;0.31746031746031744;0.0;0;0.0;0.0;0;1.3174603174603174;0;118
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;120
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;121
0.0;1.0;0;0.0;0.0;0;0.0;0.0;-1;1.0;0;122
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;123
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;125
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;126
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;127
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;129
0.0;0.0;0;0.0;0.21951219513265915;0;0.0;0.0;0;0.21951219513265915;0;130
0.0;1.0;0;0.0;0.0;0;0.0;0.0;-1;1.0;0;131
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;132
0.5;0.0;0;0.15873015873015872;0.0;0;0.0;0.0;0;0.6587301587301587;0;133
0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;134
0.0;1.0;0;0.0;0.0;0;0.0;0.0;-1;1.0;0;138
